time(s), average_n_photon(m^-3), average_n_exotic(m^-3)
0,26286500619868150,0.000000000000000000000435217415823886
0.001,26286500619485220,0.0000000000000000000008704348316469605
0.002,26286499194293204,0.0000000000000000000013056522474643653
0.003,26286499193910616,0.0000000000000000000017408696514856605
0.004,26286499193433564,0.0000000000000000000021760870555058955
0.005,26286500617914576,0.0000000000000000000026113044595159047
0.006,26286500617532070,0.0000000000000000000030465218753227535
0.007,26286502041923404,0.0000000000000000000034817392911285325
0.008,26286502041541916,0.0000000000000000000039169567187199616
0.009000000000000001,26286503466021892,0.000000000000000000004352174146313877
0.01,26286503465692376,0.000000000000000000004787391585688463
0.011,26286504890155732,0.000000000000000000005222609025062344
0.012,26286504889772864,0.0000000000000000000056578264762580224
0.013000000000000001,26286506314160120,0.0000000000000000000060930439273992436
0.014,26286506313777188,0.00000000000000000000652826139038821
0.015,26286507738258636,0.000000000000000000006963478853344336
0.016,26286507737781584,0.000000000000000000007398696328099328
0.017,26286509162244932,0.000000000000000000007833913802813442
0.018000000000000002,26286509161862068,0.000000000000000000008269131289369827
0.019,26286510586342044,0.00000000000000000000870434877588909
0.02,26286510586013908,0.000000000000000000009139566274221261
0.021,26286512010351890,0.000000000000000000009574783772546601
0.022,26286512010022740,0.000000000000000000010010001282661585
0.023,26286513434503748,0.000000000000000000010445218792782742
0.024,26286513434120880,0.000000000000000000010880436314657295
0.025,26286514858578780,0.000000000000000000011315653836599487
0.026000000000000002,26286514858107530,0.000000000000000000011750871370287589
0.027,26286516282588630,0.000000000000000000012186088903943193
0.028,26286516282111852,0.000000000000000000012621306449445179
0.029,26286517706592956,0.000000000000000000013056523994917997
0.03,26286517706210090,0.0000000000000000000134917415521936
0.031,26286519130672404,0.000000000000000000013926959109488425
0.032,26286519130344264,0.000000000000000000014362176678580345
0.033,26286520554823900,0.000000000000000000014797394247584006
0.034,26286520554441308,0.000000000000000000015232611828408002
0.035,26286521978834092,0.000000000000000000015667829409313023
0.036000000000000004,26286521978451244,0.00000000000000000001610304700193004
0.037,26286523402909144,0.000000000000000000016538264594546474
0.038,26286523402455548,0.00000000000000000001697348219898181
0.039,26286524826913104,0.000000000000000000017408699803421097
0.04,26286524826530516,0.000000000000000000017843917419664215
0.041,26286526250923296,0.000000000000000000018279135035847632
0.042,26286526250540428,0.000000000000000000018714352663825188
0.043000000000000003,26286527675020336,0.00000000000000000001914957029181895
0.044,26286527674692290,0.000000000000000000019584787931695815
0.045,26286529099154260,0.00000000000000000002002000557140738
0.046,26286529098771668,0.000000000000000000020455223223042063
0.047,26286530523252748,0.000000000000000000020890440874555054
0.048,26286530522775700,0.000000000000000000021325658538006946
0.049,26286531947257076,0.00000000000000000002176087620127649
0.05,26286531946780024,0.00000000000000000002219609387655773
0.051000000000000004,26286533371243450,0.000000000000000000022631311551698928
0.052000000000000005,26286533370860876,0.000000000000000000023066529238605267
0.053,26286534795341956,0.00000000000000000002350174692550648
0.054,26286534795012440,0.000000000000000000023936964624222044
0.055,26286536219350692,0.000000000000000000024372182322991068
0.056,26286536219021180,0.000000000000000000024807400033531113
0.057,26286537643502260,0.000000000000000000025242617744015836
0.058,26286537643119668,0.000000000000000000025677835466367224
0.059000000000000004,26286539067583110,0.000000000000000000026113053188735236
0.06,26286539067106060,0.000000000000000000026548270922864853
0.061,26286540491587430,0.000000000000000000026983488656849244
0.062,26286540491110380,0.00000000000000000002741870640280676
0.063,26286541915591468,0.000000000000000000027853924148753485
0.064,26286541915208870,0.00000000000000000002828914190633527
0.065,26286543339670850,0.000000000000000000028724359664108286
0.066,26286543339342708,0.00000000000000000002915957743351753
0.067,26286544763822708,0.000000000000000000029594795202935526
0.068,26286544763439840,0.00000000000000000003003001298427596
0.069,26286546187832616,0.00000000000000000003046523076551659
0.07,26286546187450028,0.00000000000000000003090044855854572
0.07100000000000001,26286547611907588,0.00000000000000000003133566635154441
0.07200000000000001,26286547611453990,0.000000000000000000031770884156401236
0.073,26286549035911892,0.000000000000000000032206101961182946
0.074,26286549035529044,0.00000000000000000003264131977787653
0.075,26286550459921828,0.00000000000000000003307653759445754
0.076,26286550459539236,0.00000000000000000003351175542294446
0.077,26286551884018864,0.000000000000000000033946973251345686
0.078,26286551883690730,0.000000000000000000034382191091526706
0.079,26286553308153050,0.00000000000000000003481740893172459
0.08,26286553307770180,0.00000000000000000003525262678372027
0.081,26286554732251190,0.00000000000000000003568784463571727
0.082,26286554731774504,0.000000000000000000036123062499542245
0.083,26286556156255610,0.000000000000000000036558280363357903
0.084,26286556155784348,0.00000000000000000003699349823883773
0.085,26286557580242250,0.00000000000000000003742871611432318
0.08600000000000001,26286557579859384,0.000000000000000000037863934001737745
0.08700000000000001,26286559004340396,0.00000000000000000003829915188924159
0.088,26286559004010880,0.00000000000000000003873436978834254
0.089,26286560428349204,0.0000000000000000000391695876874676
0.09,26286560428021092,0.000000000000000000039604805598393873
0.091,26286561852501068,0.000000000000000000040040023509312735
0.092,26286561852118200,0.0000000000000000000404752414320591
0.093,26286563276581550,0.000000000000000000040910459354798463
0.094,26286563276104500,0.00000000000000000004134567728933937
0.095,26286564700585948,0.000000000000000000041780895223908154
0.096,26286564700202988,0.000000000000000000042216113170015694
0.097,26286566124590270,0.00000000000000000004265133111627744
0.098,26286566124207404,0.00000000000000000004308654907445921
0.099,26286567548670750,0.000000000000000000043521767032652136
0.1,26286567548341244,0.00000000000000000004395698500253978
