X,Y,Z,Intensity
0,0,0,19.553112894484833
0,0,1,19.868702558416008
0,0,2,19.293265970893305
0,0,3,-20.369944495849673
0,0,4,20.362501310218146
0,0,5,-19.358069468524533
0,0,6,19.520646478704666
0,0,7,22.08646380048452
0,0,8,20.45660725291255
0,0,9,-19.412137709681524
0,1,0,-19.71466976281733
0,1,1,20.24123191266874
0,1,2,20.1162893165222
0,1,3,20.411838931049765
0,1,4,-19.70977499483623
0,1,5,20.42953132468425
0,1,6,-20.28560721746634
0,1,7,20.246374243201664
0,1,8,-19.359434048658066
0,1,9,-19.71466976281733
0,2,0,-19.795197716506994
0,2,1,-19.795197716506994
0,2,2,-19.652392728856316
0,2,3,-20.211255260866217
0,2,4,-19.879001154593972
0,2,5,-19.879001154593972
0,2,6,-20.37043889555391
0,2,7,20.246374243201664
0,2,8,19.43062249488906
0,2,9,-19.549387046499994
0,3,0,-19.589873298852236
0,3,1,-18.558740238742462
0,3,2,19.818593299137785
0,3,3,-20.08674306884347
0,3,4,-18.914437023658852
0,3,5,-18.804861595400425
0,3,6,-18.804861595400425
0,3,7,19.97831274477878
0,3,8,19.443903511088543
0,3,9,-19.96918029504264
0,4,0,19.507814489224387
0,4,1,19.667094687010845
0,4,2,19.952806832050864
0,4,3,-19.054106202193086
0,4,4,-18.908310190833994
0,4,5,19.98394352918403
0,4,6,19.5448028740412
0,4,7,-18.949812128055633
0,4,8,-20.857681696699565
0,4,9,-20.857681696699565
0,5,0,-18.540924820292616
0,5,1,-19.14794262205898
0,5,2,-20.40727254650985
0,5,3,-20.35735193707709
0,5,4,-20.097365406359142
0,5,5,20.13839816302244
0,5,6,19.5448028740412
0,5,7,-18.77260869165307
0,5,8,20.006269677032506
0,5,9,-18.59296913789807
0,6,0,20.56746349498523
0,6,1,-20.03793411897599
0,6,2,-20.03793411897599
0,6,3,20.17235710359857
0,6,4,20.437122456288073
0,6,5,19.44620605493177
0,6,6,19.68887933408799
0,6,7,-19.277941496709417
0,6,8,-19.39350815301613
0,6,9,19.811596482470964
0,7,0,20.422186852708865
0,7,1,20.029486813854714
0,7,2,-19.64392250688851
0,7,3,-19.924922239372215
0,7,4,-19.654484652167824
0,7,5,-19.824335144350755
0,7,6,19.16603613899249
0,7,7,-19.715294670466047
0,7,8,-19.660129267074094
0,7,9,-20.02209205248682
0,8,0,20.452870808254197
0,8,1,-19.84416220286201
0,8,2,19.00846295060743
0,8,3,20.268063077711222
0,8,4,-20.20337561549382
0,8,5,18.988771219874316
0,8,6,-18.647946037718725
0,8,7,-20.566577286188334
0,8,8,-20.377622322351407
0,8,9,-20.257177750727582
0,9,0,-19.940066961416843
0,9,1,-19.78076162344137
0,9,2,-20.28258378569232
0,9,3,20.348754873425
0,9,4,20.362501310218146
0,9,5,-19.55684761314803
0,9,6,19.494812405316214
0,9,7,18.64305694241186
0,9,8,-19.703775921249644
0,9,9,20.1321782350243
1,0,0,-18.46319470740125
1,0,1,-20.42162275347377
1,0,2,-20.329930722345864
1,0,3,-20.429689994886512
1,0,4,20.281831189807033
1,0,5,20.161798804684743
1,0,6,20.132262060984967
1,0,7,19.729313254547915
1,0,8,-19.790158014724483
1,0,9,20.552054654905202
1,1,0,-18.879911766094224
1,1,1,-19.54057157649231
1,1,2,-20.37699524024948
1,1,3,-21.40186898714528
1,1,4,-19.277686692841893
1,1,5,-20.28471812806653
1,1,6,-20.303282918133263
1,1,7,-21.26051173724789
1,1,8,-19.499592655029744
1,1,9,20.388512094059795
1,2,0,-17.794634975399923
1,2,1,20.150800617315287
1,2,2,-18.88588231892498
1,2,3,20.42920972296285
1,2,4,-21.252607583724277
1,2,5,-21.190503030472048
1,2,6,-19.88483138312117
1,2,7,20.142648507682004
1,2,8,18.736099556301223
1,2,9,20.388512094059795
1,3,0,20.042891282246536
1,3,1,19.710340422425446
1,3,2,19.818593299137785
1,3,3,-18.944981032203575
1,3,4,19.40892681524081
1,3,5,-19.011688316213817
1,3,6,-19.56526952859491
1,3,7,-19.435291049484388
1,3,8,-19.296472905800435
1,3,9,19.886481223356036
1,4,0,-18.428241471062233
1,4,1,19.751064678080542
1,4,2,20.02015251051803
1,4,3,19.43469442789175
1,4,4,19.57838126119823
1,4,5,19.49889332741658
1,4,6,-21.584440798222715
1,4,7,-18.949812128055633
1,4,8,18.64316626950552
