time(s),avg_photon_density,avg_axion_density,avg_neutrino_density,avg_energy_density
0,3552336257.094722,6444444697.9967785,10000000000,320000000000032630000000000000000000
0.00000000000000005391247,143754554367931820000000000000000000,215731627305882630000000000000000000,10000000000,320000000000032630000000000000000000
0.00000000000000010782494,146597014398164680000000000000000000000000000000000000000000000,111139360247544560000000000000000000000000000000000000000000000,10002097821.544355,320000000000032630000000000000000000
0.00000000000000016173741000000001,87698607662523770000000000000000000000000000000000000000000000000000000000000000000000000,108753998141851270000000000000000000000000000000000000000000000000000000000000000000000000,1757274335120395000000000000000000,320000000000032630000000000000000000
0.00000000000000021564988,83120170846186730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,69803430047460940000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1359601718183845600000000000000000000000000000000000000000000,320000000000032630000000000000000000
0.00000000000000026956235,55283640002586780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,64443047390603840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1171287603497142800000000000000000000000000000000000000000000000000000000000000000000000,160000000000013800000000000000000000
0.00000000000000032347482000000003,50185539051986356000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,43814151238266330000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,938106924804985800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,117313534719999080000000000000000000000000000000000000000000000
0.00000000000000037738729,34662636449814000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,39173354387090020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,809210583045451000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,101194598738969880000000000000000000000000000000000000000000000000000000000000000000000000
0.00000000000000043129976,30583175914664747000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,27372430344768276000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,660140718477864100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,78304634562188150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0.00000000000000048521223,21559307423088242000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23953888779876477000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,569437066891464250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,67545540187122740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0.0000000000000005391247,18744979436993538000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,16962232202788189000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,470833179602436800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,53966531241157220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0.00000000000000059303717,inf,inf,404214967549678000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,45727583520886616000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0.0000000000000006469496400000001,inf,inf,0,37534549435265544000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0.00000000000000070086211,inf,inf,0,32377284326276186000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0.00000000000000075477458,inf,inf,0,27085813276231170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0.0000000000000008086870500000001,inf,inf,0,inf
0.00000000000000086259952,inf,inf,0,inf
0.00000000000000091651199,inf,inf,0,inf
0.00000000000000097042446,inf,inf,0,inf
0.00000000000000102433693,inf,inf,0,inf
0.0000000000000010782494,inf,inf,0,inf
0.00000000000000113216187,inf,inf,0,inf
0.00000000000000118607434,inf,inf,0,inf
0.00000000000000123998681,inf,inf,0,inf
0.0000000000000012938992800000001,inf,inf,0,inf
0.00000000000000134781175,inf,inf,0,inf
0.00000000000000140172422,inf,inf,0,inf
0.0000000000000014556366900000001,inf,inf,0,inf
0.00000000000000150954916,inf,inf,0,inf
0.00000000000000156346163,inf,inf,0,inf
0.0000000000000016173741000000001,inf,inf,0,inf
0.00000000000000167128657,inf,inf,0,inf
0.00000000000000172519904,inf,inf,0,inf
0.00000000000000177911151,inf,inf,0,inf
0.00000000000000183302398,inf,inf,0,inf
0.00000000000000188693645,inf,inf,0,inf
0.00000000000000194084892,inf,inf,0,inf
0.0000000000000019947613900000002,inf,inf,0,inf
0.00000000000000204867386,inf,inf,0,inf
0.00000000000000210258633,inf,inf,0,inf
0.0000000000000021564988,inf,inf,0,inf
0.00000000000000221041127,inf,inf,0,inf
0.00000000000000226432374,inf,inf,0,inf
0.0000000000000023182362100000003,inf,inf,0,inf
0.00000000000000237214868,inf,inf,0,inf
0.00000000000000242606115,inf,inf,0,inf
0.00000000000000247997362,inf,inf,0,inf
0.00000000000000253388609,inf,inf,0,inf
0.0000000000000025877985600000002,inf,inf,0,inf
0.0000000000000026417110300000003,inf,inf,0,inf
0.0000000000000026956235,inf,inf,0,inf
0.00000000000000274953597,inf,inf,0,inf
0.00000000000000280344844,inf,inf,0,inf
0.00000000000000285736091,inf,inf,0,inf
0.0000000000000029112733800000003,inf,inf,0,inf
0.0000000000000029651858500000003,inf,inf,0,inf
0.00000000000000301909832,inf,inf,0,inf
0.00000000000000307301079,inf,inf,0,inf
