time(s),radius(cm),n_photon(cm^-3),n_pairs(cm^-3)
1,10030000000000,4922400877547665000000,17812846385767073000000
2,10060000000000,4878494687615911000000,35309340558471260000000
3,10090000000000,4835109120606871000000,52496017886123016000000
4,10120000000000,4792236482653439000000,69379259893006800000000
5,10150000000000,4749869215927998000000,85965298321910560000000
6,10180000000000,4707999895844363000000,102260219077523350000000
7,10210000000000,4666621228325344400000,118269966054813780000000
8,10240000000000,4625726047134130600000,134000344856068810000000
9,10270000000000,4585307311267864000000,149457026400144460000000
10,10300000000000,4545358102411775300000,164645550427356630000000
11,10330000000000,4505871622452287600000,179571328903321950000000
12,10360000000000,4466841191047570700000,194239649324943760000000
13,10390000000000,4428260243254050000000,208655677931629350000000
14,10420000000000,4390122327207417000000,222824462824717630000000
15,10450000000000,4352421101856762000000,236750936997995540000000
16,10480000000000,4315150334750434000000,250439921282082670000000
17,10510000000000,4278303899872321000000,263896127205369200000000
18,10540000000000,4241875775527264500000,277124159774101400000000
19,10570000000000,4205860042274342000000,290128520174120850000000
20,10600000000000,4170250880906815300000,302913608396679560000000
21,10630000000000,4135042570477556500000,315483725790670900000000
22,10660000000000,4100229486368807500000,327843077543538800000000
23,10690000000000,4065806098405145000000,339995775093051060000000
24,10720000000000,4031766969008587300000,351945838472050600000000
25,10750000000000,3998106751394759000000,363697198588227000000000
26,10780000000000,3964820187809120000000,375253699440884600000000
27,10810000000000,3931902107802226700000,386619100276616700000000
28,10840000000000,3899347426543088000000,397797077685732200000000
29,10870000000000,3867151143169649300000,408791227641222900000000
30,10900000000000,3835308339175503000000,419605067481996750000000
31,10930000000000,3803814176831915000000,430242037842049800000000
32,10960000000000,3772663897644328300000,440705504527193140000000
33,10990000000000,3741852820842458600000,450998760340898600000000
34,11020000000000,3711376341903208000000,461125026860777000000000
35,11050000000000,3681229931105551000000,471087456167152260000000
36,11080000000000,3651409132116652300000,480889132525150340000000
37,11110000000000,3621909560608444400000,490533074021672160000000
38,11140000000000,3592726902903918000000,500022234158580000000000
39,11170000000000,3563856914652430000000,509359503403380800000000
40,11200000000000,3535295419533323000000,518547710698651600000000
41,11230000000000,3507038307987165300000,527589624931410000000000
42,11260000000000,3479081535973975700000,536487956363597400000000
43,11290000000000,3451421123757760600000,545245358024802100000000
44,11320000000000,3424053154716768500000,553864427068318300000000
45,11350000000000,3396973774178818000000,562347706091597300000000
46,11380000000000,3370179188281137700000,570697684422118600000000
47,11410000000000,3343665662854119300000,578916799369673700000000
48,11440000000000,3317429522328425300000,587007437446024900000000
49,11470000000000,3291467148664909000000,594971935552872500000000
50,11500000000000,3265774980306804700000,602812582139032600000000
51,11530000000000,3240349511153676000000,610531618327702400000000
52,11560000000000,3215187289556604000000,618131239014660400000000
53,11590000000000,3190284917334133400000,625613593938223700000000
54,11620000000000,3165639048808492000000,632980788721759800000000
55,11650000000000,3141246389861610400000,640234885889525900000000
56,11680000000000,3117103697010489300000,647377905856582000000000
57,11710000000000,3093207776501470000000,654411827893507300000000
58,11740000000000,3069555483422973500000,661338591066620500000000
59,11770000000000,3046143720836281400000,668160095154388300000000
60,11800000000000,3022969438923959300000,674878201540682800000000
61,11830000000000,3000029634155503000000,681494734085530700000000
62,11860000000000,2977321348469830000000,688011479973975000000000
63,11890000000000,2954841668474236300000,694430190543653800000000
64,11920000000000,2932587724659430500000,700752582091682400000000
65,11950000000000,2910556690630298000000,706980336661404900000000
66,11980000000000,2888745782352044600000,713115102809568000000000
67,12010000000000,2867152257411351000000,719158496354450300000000
68,12040000000000,2845773414292233700000,725112101105467200000000
69,12070000000000,2824606591666257700000,730977469574753200000000
70,12100000000000,2803649167696800500000,736756123671211100000000
71,12130000000000,2782898559357044000000,742449555377502300000000
72,12160000000000,2762352221761393000000,748059227410437100000000
73,12190000000000,2742007647510029000000,753586573865213000000000
74,12220000000000,2721862366046296000000,759033000843934000000000
75,12250000000000,2701913943026657400000,764399887068830900000000
76,12280000000000,2682159979702926700000,769688584480593100000000
77,12310000000000,2662598112316521000000,774900418822206400000000
78,12340000000000,2643226011504457300000,780036690208683900000000
79,12370000000000,2624041381716856000000,785098673683063000000000
80,12400000000000,2605041960645680400000,790087619759032000000000
81,12430000000000,2586225518664493300000,795004754950539700000000
82,12460000000000,2567589858278961600000,799851282288729800000000
83,12490000000000,2549132813587910000000,804628381826532800000000
84,12520000000000,2530852249754674400000,809337211131240900000000
85,12550000000000,2512746062488535000000,813978905765376600000000
86,12580000000000,2494812177536034300000,818554579756164000000000
87,12610000000000,2477048550181934000000,823065326053895900000000
88,12640000000000,2459453164759643000000,827512216979486800000000
89,12670000000000,2442024034170883300000,831896304661491900000000
90,12700000000000,2424759199414422000000,836218621462863100000000
91,12730000000000,2407656729123658000000,840480180397707200000000
92,12760000000000,2390714719112895000000,844681975538303500000000
93,12790000000000,2373931291932100000000,848824982412630000000000
94,12820000000000,2357304596429981400000,852910158392641400000000
95,12850000000000,2340832807325212000000,856938443073535500000000
96,12880000000000,2324514124785615000000,860910758644237000000000
97,12910000000000,2308346774015162000000,864828010249321500000000
98,12940000000000,2292329004848607700000,868691086342597700000000
99,12970000000000,2276459091353612800000,872500859032558700000000
100,13000000000000,2260735331440196800000,876258184419906400000000
101,13030000000000,2245156046477354300000,879963902927350100000000
102,13060000000000,2229719580916721000000,883618839621872600000000
103,13090000000000,2214424301923106800000,887223804529652500000000
104,13120000000000,2199268599011784500000,890779592943827400000000
105,13150000000000,2184250883692368500000,894286985725274700000000
106,13180000000000,2169369589119181400000,897746749596586400000000
107,13210000000000,2154623169747940000000,901159637429404400000000
108,13240000000000,2140010100998668600000,904526388525282300000000
109,13270000000000,2125528878924678300000,907847728890234000000000
110,13300000000000,2111178019887518000000,911124371503123600000000
111,13330000000000,2096956060237760600000,914357016578049500000000
112,13360000000000,2082861556001504800000,917546351820869800000000
113,13390000000000,2068893082572496600000,920693052680011400000000
114,13420000000000,2055049234409731400000,923797782591704800000000
115,13450000000000,2041328624740446200000,926861193219778900000000
116,13480000000000,2027729885268391800000,929883924690149000000000
117,13510000000000,2014251665887263000000,932866605820126300000000
118,13540000000000,2000892634399213400000,935809854342675200000000
119,13570000000000,1987651476238323400000,938714277125740000000000
120,13600000000000,1974526894198949700000,941580470386760000000000
121,13630000000000,1961517608168834200000,944409019902489100000000
122,13660000000000,1948622354866906000000,947200501214233100000000
123,13690000000000,1935839887585656400000,949955479828613000000000
124,13720000000000,1923168975938024000000,952674511413963700000000
125,13750000000000,1910608405608674000000,955358141992469800000000
126,13780000000000,1898156978109610700000,958006908128142200000000
127,13810000000000,1885813510540025400000,960621337110732500000000
128,13840000000000,1873576835350297800000,963201947135682700000000
129,13870000000000,1861445800110069000000,965749247480204100000000
130,13900000000000,1849419267280322000000,968263738675576000000000
131,13930000000000,1837496113989366300000,970745912675753900000000
132,13960000000000,1825675231812676000000,973196253022373200000000
133,13990000000000,1813955526556490000000,975615235006234200000000
134,14020000000000,1802335918045113400000,978003325825350000000000
135,14050000000000,1790815339911842600000,980360984739637300000000
136,14080000000000,1779392739393444500000,982688663222329300000000
137,14110000000000,1768067077128129600000,984986805108185600000000
138,14140000000000,1756837326956939000000,987255846738575600000000
139,14170000000000,1745702475728494800000,989496217103504900000000
140,14200000000000,1734661523107040200000,991708337980658200000000
141,14230000000000,1723713481383714200000,993892624071526000000000
142,14260000000000,1712857375290988200000,996049483134682100000000
143,14290000000000,1702092241820220400000,998179316116278100000000
144,14320000000000,1691417130042258600000,1000282517277818700000000
145,14350000000000,1680831100931036000000,1002359474321278700000000
146,14380000000000,1670333227190105100000,1004410568511624500000000
147,14410000000000,1659922593082060300000,1006436174796797700000000
148,14440000000000,1649598294260777200000,1008436661925218200000000
149,14470000000000,1639359437606443000000,1010412392560865000000000
150,14500000000000,1629205141063303200000,1012363723395987100000000
151,14530000000000,1619134533480083000000,1014291005261500400000000
152,14560000000000,1609146754453037000000,1016194583235120400000000
153,14590000000000,1599240954171575500000,1018074796747284200000000
154,14620000000000,1589416293266413800000,1019931979684909500000000
155,14650000000000,1579671942660211900000,1021766460493039000000000
156,14680000000000,1570007083420645000000,1023578562274419700000000
157,14710000000000,1560420906615873000000,1025368602887060200000000
158,14740000000000,1550912613172349200000,1027136895039813900000000
159,14770000000000,1541481413734940800000,1028883746386029300000000
160,14800000000000,1532126528529317000000,1030609459615312800000000
161,14830000000000,1522847187226548200000,1032314332543443300000000
162,14860000000000,1513642628809899000000,1033998658200482000000000
163,14890000000000,1504512101443757100000,1035662724917115400000000
164,14920000000000,1495454862344669000000,1037306816409270000000000
165,14950000000000,1486470177654440000000,1038931211861039500000000
166,14980000000000,1477557322315266500000,1040536186005957600000000
167,15010000000000,1468715579946857700000,1042122009206655600000000
168,15040000000000,1459944242725515400000,1043688947532938900000000
169,15070000000000,1451242611265136200000,1045237262838316600000000
170,15100000000000,1442609994500099500000,1046767212835018500000000
171,15130000000000,1434045709570012600000,1048279051167531900000000
172,15160000000000,1425549081706272400000,1049773027484690300000000
173,15190000000000,1417119444120422800000,1051249387510345500000000
174,15220000000000,1408756137894259000000,1052708373112653600000000
175,15250000000000,1400458511871667900000,1054150222372004600000000
176,15280000000000,1392225922552159300000,1055575169647624500000000
177,15310000000000,1384057733986060300000,1056983445642879400000000
178,15340000000000,1375953317671351600000,1058375277469308500000000
179,15370000000000,1367912052452110000000,1059750888709412800000000
180,15400000000000,1359933324418528300000,1061110499478227100000000
181,15430000000000,1352016526808486500000,1062454326483700900000000
182,15460000000000,1344161059910653600000,1063782583085912500000000
183,15490000000000,1336366330969084400000,1065095479355142800000000
184,15520000000000,1328631754089284800000,1066393222128831300000000
185,15550000000000,1320956750145731700000,1067676015067438200000000
186,15580000000000,1313340746690810600000,1068944058709237700000000
187,15610000000000,1305783177865149500000,1070197550524061300000000
188,15640000000000,1298283484309328200000,1071436684966015900000000
189,15670000000000,1290841113076937500000,1072661653525198200000000
190,15700000000000,1283455517548963400000,1073872644778424900000000
191,15730000000000,1276126157349477200000,1075069844438999400000000
192,15760000000000,1268852498262601200000,1076253435405537000000000
193,15790000000000,1261634012150744500000,1077423597809866500000000
194,15820000000000,1254470176874067100000,1078580509064026500000000
195,15850000000000,1247360476211166000000,1079724343906378100000000
196,15880000000000,1240304399780956600000,1080855274446849400000000
197,15910000000000,1233301442965729700000,1081973470211331400000000
198,15940000000000,1226351106835367300000,1083079098185242200000000
199,15970000000000,1219452898072690000000,1084172322856276700000000
200,16000000000000,1212606328899929600000,1085253306256358000000000
201,16030000000000,1205810917006293000000,1086322208002808200000000
202,16060000000000,1199066185476612300000,1087379185338753200000000
203,16090000000000,1192371662721051000000,1088424393172777400000000
204,16120000000000,1185726882405863000000,1089457984117844600000000
205,16150000000000,1179131383385172500000,1090480108529498800000000
206,16180000000000,1172584709633762700000,1091490914543359600000000
207,16210000000000,1166086410180866000000,1092490548111927800000000
208,16240000000000,1159636039044921200000,1093479153040713600000000
209,16270000000000,1153233155169298000000,1094456871023701600000000
210,16300000000000,1146877322358963000000,1095423841678166500000000
211,16330000000000,1140568109218075400000,1096380202578852000000000
212,16360000000000,1134305089088497600000,1097326089291525500000000
213,16390000000000,1128087839989202300000,1098261635405922000000000
214,16420000000000,1121915944556566500000,1099186972568088300000000
215,16450000000000,1115788989985532000000,1100102230512140300000000
216,16480000000000,1109706567971624500000,1101007537091444700000000
217,16510000000000,1103668274653810800000,1101903018309237100000000
218,16540000000000,1097673710558184100000,1102788798348686400000000
219,16570000000000,1091722480542467500000,1103664999602418100000000
220,16600000000000,1085814193741313100000,1104531742701506400000000
221,16630000000000,1079948463512390700000,1105389146543945000000000
222,16660000000000,1074124907383256300000,1106237328322608600000000
223,16690000000000,1068343146998974800000,1107076403552712800000000
224,16720000000000,1062602808070498700000,1107906486098784700000000
225,16750000000000,1056903520323786800000,1108727688201151600000000
226,16780000000000,1051244917449644800000,1109540120501958900000000
227,16810000000000,1045626637054281500000,1110343892070725700000000
228,16840000000000,1040048320610572400000,1111139110429446500000000
229,16870000000000,1034509613410009500000,1111925881577249600000000
230,16900000000000,1029010164515337700000,1112704310014618400000000
231,16930000000000,1023549626713857300000,1113474498767186800000000
232,16960000000000,1018127656471390600000,1114236549409114400000000
233,16990000000000,1012743913886890700000,1114990562086051500000000
234,17020000000000,1007398062647697500000,1115736635537700300000000
235,17050000000000,1002089769985416400000,1116474867119982200000000
236,17080000000000,996818706632416800000,1117205352826815900000000
237,17110000000000,991584546778944800000,1117928187311516400000000
238,17140000000000,986386968030825700000,1118643463907820800000000
239,17170000000000,981225651367766900000,1119351274650548000000000
