time(s),radius(m),n_photon(m^-3),n_pairs(m^-3)
1,10,6851432648425.626,0
2,10,6851432648425.626,0
3,10,6851432648425.626,0
4,10,6851432648425.626,0
5,10,6851432648425.626,0
6,10,6851432648425.626,0
7,10,6851432648425.626,0
8,10,6851432648425.626,0
9,10,6851432648425.626,0
10,10,6851432648425.626,0
11,10,6851432648425.626,0
12,10,6851432648425.626,0
13,10,6851432648425.626,0
14,10,6851432648425.626,0
15,10,6851432648425.626,0
16,10,6851432648425.626,0
17,10,6851432648425.626,0
18,10,6851432648425.626,0
19,10,6851432648425.626,0
20,10,6851432648425.626,0
21,10,6851432648425.626,0
22,10,6851432648425.626,0
23,10,6851432648425.626,0
24,10,6851432648425.626,0
25,10,6851432648425.626,0
26,10,6851432648425.626,0
27,10,6851432648425.626,0
28,10,6851432648425.626,0
29,10,6851432648425.626,0
30,10,6851432648425.626,0
31,10,6851432648425.626,0
32,10,6851432648425.626,0
33,10,6851432648425.626,0
34,10,6851432648425.626,0
35,10,6851432648425.626,0
36,10,6851432648425.626,0
37,10,6851432648425.626,0
38,10,6851432648425.626,0
39,10,6851432648425.626,0
40,10,6851432648425.626,0
41,10,6851432648425.626,0
42,10,6851432648425.626,0
43,10,6851432648425.626,0
44,10,6851432648425.626,0
45,10,6851432648425.626,0
46,10,6851432648425.626,0
47,10,6851432648425.626,0
48,10,6851432648425.626,0
49,10,6851432648425.626,0
50,10,6851432648425.626,0
51,10,6851432648425.626,0
52,10,6851432648425.626,0
53,10,6851432648425.626,0
54,10,6851432648425.626,0
55,10,6851432648425.626,0
56,10,6851432648425.626,0
57,10,6851432648425.626,0
58,10,6851432648425.626,0
59,10,6851432648425.626,0
60,10,6851432648425.626,0
61,10,6851432648425.626,0
62,10,6851432648425.626,0
63,10,6851432648425.626,0
64,10,6851432648425.626,0
65,10,6851432648425.626,0
66,10,6851432648425.626,0
67,10,6851432648425.626,0
68,10,6851432648425.626,0
69,10,6851432648425.626,0
70,10,6851432648425.626,0
71,10,6851432648425.626,0
72,10,6851432648425.626,0
73,10,6851432648425.626,0
74,10,6851432648425.626,0
75,10,6851432648425.626,0
76,10,6851432648425.626,0
77,10,6851432648425.626,0
78,10,6851432648425.626,0
79,10,6851432648425.626,0
80,10,6851432648425.626,0
81,10,6851432648425.626,0
82,10,6851432648425.626,0
83,10,6851432648425.626,0
84,10,6851432648425.626,0
85,10,6851432648425.626,0
86,10,6851432648425.626,0
87,10,6851432648425.626,0
88,10,6851432648425.626,0
89,10,6851432648425.626,0
90,10,6851432648425.626,0
91,10,6851432648425.626,0
92,10,6851432648425.626,0
93,10,6851432648425.626,0
94,10,6851432648425.626,0
95,10,6851432648425.626,0
96,10,6851432648425.626,0
97,10,6851432648425.626,0
98,10,6851432648425.626,0
99,10,6851432648425.626,0
100,10,6851432648425.626,0
101,10,6851432648425.626,0
102,10,6851432648425.626,0
103,10,6851432648425.626,0
104,10,6851432648425.626,0
105,10,6851432648425.626,0
106,10,6851432648425.626,0
107,10,6851432648425.626,0
108,10,6851432648425.626,0
109,10,6851432648425.626,0
110,10,6851432648425.626,0
111,10,6851432648425.626,0
112,10,6851432648425.626,0
113,10,6851432648425.626,0
114,10,6851432648425.626,0
115,10,6851432648425.626,0
116,10,6851432648425.626,0
117,10,6851432648425.626,0
118,10,6851432648425.626,0
119,10,6851432648425.626,0
120,10,6851432648425.626,0
121,10,6851432648425.626,0
122,10,6851432648425.626,0
123,10,6851432648425.626,0
124,10,6851432648425.626,0
125,10,6851432648425.626,0
126,10,6851432648425.626,0
127,10,6851432648425.626,0
128,10,6851432648425.626,0
129,10,6851432648425.626,0
130,10,6851432648425.626,0
131,10,6851432648425.626,0
132,10,6851432648425.626,0
133,10,6851432648425.626,0
134,10,6851432648425.626,0
135,10,6851432648425.626,0
136,10,6851432648425.626,0
137,10,6851432648425.626,0
138,10,6851432648425.626,0
139,10,6851432648425.626,0
140,10,6851432648425.626,0
141,10,6851432648425.626,0
142,10,6851432648425.626,0
143,10,6851432648425.626,0
144,10,6851432648425.626,0
145,10,6851432648425.626,0
146,10,6851432648425.626,0
147,10,6851432648425.626,0
148,10,6851432648425.626,0
149,10,6851432648425.626,0
150,10,6851432648425.626,0
151,10,6851432648425.626,0
152,10,6851432648425.626,0
153,10,6851432648425.626,0
154,10,6851432648425.626,0
155,10,6851432648425.626,0
156,10,6851432648425.626,0
157,10,6851432648425.626,0
158,10,6851432648425.626,0
159,10,6851432648425.626,0
160,10,6851432648425.626,0
161,10,6851432648425.626,0
162,10,6851432648425.626,0
163,10,6851432648425.626,0
164,10,6851432648425.626,0
165,10,6851432648425.626,0
166,10,6851432648425.626,0
167,10,6851432648425.626,0
