time(s),radius(cm),n_photon(cm^-3),n_pairs(cm^-3),n_W,n_Z,n_H
1,10030000000000,1472303353204685600000000,43261148631564730000000000000000000,0,0,0
2,10060000000000,1454819489348681500000000,85500930293929240000000000000000000,0,0,0
3,10090000000000,1437594386701745300000000,126746393046553200000000000000000000,0,0,0
4,10120000000000,1420623463237185300000000,167023791407284920000000000000000000,0,0,0
5,10150000000000,1403902231308768000000000,206358611886519020000000000000000000,0,0,0
6,10180000000000,1387426295435470600000000,244775597627655340000000000000000000,0,0,0
7,10210000000000,1371191350144567300000000,282298772187646540000000000000000000,0,0,0
8,10240000000000,1355193177871327400000000,318951462490050140000000000000000000,0,0,0
9,10270000000000,1339427646913690000000000,354756320981688500000000000000000000,0,0,0
10,10300000000000,1323890709440322700000000,389735347022765350000000000000000000,0,0,0
11,10330000000000,1308578399550519000000000,423909907539085800000000000000000000,0,0,0
12,10360000000000,1293486831384431700000000,457300756963877200000000000000000000,0,0,0
13,10390000000000,1278612197282209000000000,489928056495607460000000000000000000,0,0,0
14,10420000000000,1263950765990619000000000,521811392697145100000000000000000000,0,0,0
15,10450000000000,1249498880915816900000000,552969795460596800000000000000000000,0,0,0
16,10480000000000,1235252958420925800000000,583421755361190400000000000000000000,0,0,0
17,10510000000000,1221209486167170400000000,613185240422650900000000000000000000,0,0,0
18,10540000000000,1207365021497323900000000,642277712315628000000000000000000000,0,0,0
19,10570000000000,1193716189860267400000000,670716142009885800000000000000000000,0,0,0
20,10600000000000,1180259683275513700000000,698517024900155800000000000000000000,0,0,0
21,10630000000000,1166992258836563300000000,725696395424772300000000000000000000,0,0,0
22,10660000000000,1153910737252009600000000,752269841195463600000000000000000000,0,0,0
23,10690000000000,1141012001423333500000000,778252516655961900000000000000000000,0,0,0
24,10720000000000,1128292995058373300000000,803659156286403500000000000000000000,0,0,0
25,10750000000000,1115750721319467500000000,828504087369838600000000000000000000,0,0,0
26,10780000000000,1103382241505320900000000,852801242336538200000000000000000000,0,0,0
27,10810000000000,1091184673765650400000000,876564170701183800000000000000000000,0,0,0
28,10840000000000,1079155191847718100000000,899806050607444400000000000000000000,0,0,0
29,10870000000000,1067291023873868000000000,922539699993892100000000000000000000,0,0,0
30,10900000000000,1055589451149221100000000,944777587394675700000000000000000000,0,0,0
31,10930000000000,1044047806998695600000000,966531842387857600000000000000000000,0,0,0
32,10960000000000,1032663475632571700000000,987814265703833400000000000000000000,0,0,0
33,10990000000000,1021433891039797700000000,1008636339005782700000000000000000000,0,0,0
34,11020000000000,1010356535908314400000000,1029009234353645500000000000000000000,0,0,0
35,11050000000000,999428940571642900000000,1048943823362689100000000000000000000,0,0,0
36,11080000000000,988648681981043100000000,1068450686067315100000000000000000000,0,0,0
37,11110000000000,978013382702550400000000,1087540119500354300000000000000000000,0,0,0
38,11140000000000,967520709938218400000000,1106222145997717300000000000000000000,0,0,0
39,11170000000000,957168374570930000000000,1124506521237899700000000000000000000,0,0,0
40,11200000000000,946954130232140100000000,1142402742025489600000000000000000000,0,0,0
41,11230000000000,936875772391941000000000,1159920053827483000000000000000000000,0,0,0
42,11260000000000,926931137470863900000000,1177067458070890400000000000000000000,0,0,0
43,11290000000000,917118101972832700000000,1193853719209804200000000000000000000,0,0,0
44,11320000000000,907434581638719500000000,1210287371569795300000000000000000000,0,0,0
45,11350000000000,897878530619951900000000,1226376725977220600000000000000000000,0,0,0
46,11380000000000,888447940671653100000000,1242129876180743300000000000000000000,0,0,0
47,11410000000000,879140840364799100000000,1257554705072105000000000000000000000,0,0,0
48,11440000000000,869955294316894700000000,1272658890712929000000000000000000000,0,0,0
49,11470000000000,860889402440691100000000,1287449912174091100000000000000000000,0,0,0
50,11500000000000,851941299210470800000000,1301935055193955900000000000000000000,0,0,0
51,11530000000000,843109152945449000000000,1316121417661549400000000000000000000,0,0,0
52,11560000000000,834391165109845400000000,1330015914930521300000000000000000000,0,0,0
53,11590000000000,825785569629197700000000,1343625284969539800000000000000000000,0,0,0
54,11620000000000,817290632222502400000000,1356956093354557400000000000000000000,0,0,0
55,11650000000000,808904649749770900000000,1370014738108195200000000000000000000,0,0,0
56,11680000000000,800625949574612000000000,1382807454391305500000000000000000000,0,0,0
57,11710000000000,792452888941452600000000,1395340319051589400000000000000000000,0,0,0
58,11740000000000,784383854367029000000000,1407619255033977700000000000000000000,0,0,0
59,11770000000000,776417261045781200000000,1419650035657314600000000000000000000,0,0,0
60,11800000000000,768551552268803300000000,1431438288761722500000000000000000000,0,0,0
61,11830000000000,760785198856002400000000,1442989500730874800000000000000000000,0,0,0
62,11860000000000,753116698601137400000000,1454309020393253000000000000000000000,0,0,0
63,11890000000000,745544575729411900000000,1465402062806324000000000000000000000,0,0,0
64,11920000000000,738067380367306300000000,1476273712927432400000000000000000000,0,0,0
65,11950000000000,730683688024342500000000,1486928929175073700000000000000000000,0,0,0
66,11980000000000,723392099086488600000000,1497372546884087300000000000000000000,0,0,0
67,12010000000000,716191238320903500000000,1507609281658180500000000000000000000,0,0,0
