time(s),radius(cm),n_photon(cm^-3),n_pairs(cm^-3),n_W,n_Z,n_H
1,10030000000000,1476720263264299600000000,43521104873691800000000000000000000,0,0,0
2,10060000000000,1463548406284773400000000,86269284548144510000000000000000000,0,0,0
3,10090000000000,1450532736182061000000000,128260506512798680000000000000000000,0,0,0
4,10120000000000,1437670944796031700000000,169510362379551930000000000000000000,0,0,0
5,10150000000000,1424960764778399200000000,210034077807770860000000000000000000,0,0,0
6,10180000000000,1412399968753308800000000,249846522138968230000000000000000000,0,0,0
7,10210000000000,1399986368497603400000000,288962217750460030000000000000000000,0,0,0
8,10240000000000,1387717814140239300000000,327395349136993200000000000000000000,0,0,0
9,10270000000000,1375592193380359000000000,365159771729020400000000000000000000,0,0,0
10,10300000000000,1363607430723532400000000,402269020455998800000000000000000000,0,0,0
11,10330000000000,1351761486735686400000000,438736318062798800000000000000000000,0,0,0
12,10360000000000,1340052357314271200000000,474574583187029700000000000000000000,0,0,0
13,10390000000000,1328478072976215200000000,509796438204822600000000000000000000,0,0,0
14,10420000000000,1317036698162225300000000,544414216852349000000000000000000000,0,0,0
15,10450000000000,1305726330557028600000000,578439971630107260000000000000000000,0,0,0
16,10480000000000,1294545100425130300000000,611885480996768800000000000000000000,0,0,0
17,10510000000000,1283491169961696300000000,644762256359143200000000000000000000,0,0,0
18,10540000000000,1272562732658179400000000,677081548864601700000000000000000000,0,0,0
19,10570000000000,1261758012682302700000000,708854356002081500000000000000000000,0,0,0
20,10600000000000,1251075264272044600000000,740091428017589000000000000000000000,0,0,0
21,10630000000000,1240512771143267000000000,770803274149919200000000000000000000,0,0,0
22,10660000000000,1230068845910642000000000,801000168692118800000000000000000000,0,0,0
23,10690000000000,1219741829521543500000000,830692156884033300000000000000000000,0,0,0
24,10720000000000,1209530090702576200000000,859889060641102700000000000000000000,0,0,0
25,10750000000000,1199432025418427700000000,888600484124397300000000000000000000,0,0,0
26,10780000000000,1189446056342736000000000,916835819156719400000000000000000000,0,0,0
27,10810000000000,1179570632340668000000000,944604250489438000000000000000000000,0,0,0
28,10840000000000,1169804227962926400000000,971914760924568800000000000000000000,0,0,0
29,10870000000000,1160145342950894700000000,998776136296464500000000000000000000,0,0,0
30,10900000000000,1150592501752651000000000,1025196970317335600000000000000000000,0,0,0
31,10930000000000,1141144253049574400000000,1051185669290685200000000000000000000,0,0,0
32,10960000000000,1131799169293298500000000,1076750456696608400000000000000000000,0,0,0
33,10990000000000,1122555846252737600000000,1101899377652776200000000000000000000,0,0,0
34,11020000000000,1113412902570962400000000,1126640303254802100000000000000000000,0,0,0
35,11050000000000,1104368979331665200000000,1150980934799569600000000000000000000,0,0,0
36,11080000000000,1095422739634995800000000,1174928807894981700000000000000000000,0,0,0
37,11110000000000,1086572868182533400000000,1198491296459484100000000000000000000,0,0,0
38,11140000000000,1077818070871175300000000,1221675616614605500000000000000000000,0,0,0
39,11170000000000,1069157074395729000000000,1244488830473653600000000000000000000,0,0,0
40,11200000000000,1060588625859996900000000,1266937849829606500000000000000000000,0,0,0
41,11230000000000,1052111492396149600000000,1289029439745142700000000000000000000,0,0,0
42,11260000000000,1043724460792192700000000,1310770222047657000000000000000000000,0,0,0
43,11290000000000,1035426337127328100000000,1332166678732023200000000000000000000,0,0,0
44,11320000000000,1027215946415030500000000,1353225155273772500000000000000000000,0,0,0
45,11350000000000,1019092132253645400000000,1373951863855278000000000000000000000,0,0,0
46,11380000000000,1011053756484341400000000,1394352886507448700000000000000000000,0,0,0
47,11410000000000,1003099698856235900000000,1414434178169363400000000000000000000,0,0,0
48,11440000000000,995228856698527600000000,1434201569668192700000000000000000000,0,0,0
49,11470000000000,987440144599472800000000,1453660770621690900000000000000000000,0,0,0
50,11500000000000,979732494092041400000000,1472817372265462000000000000000000000,0,0,0
51,11530000000000,972104853346102800000000,1491676850207143000000000000000000000,0,0,0
52,11560000000000,964556186866981200000000,1510244567109572000000000000000000000,0,0,0
53,11590000000000,957085475200240200000000,1528525775304954700000000000000000000,0,0,0
54,11620000000000,949691714642547600000000,1546525619341974000000000000000000000,0,0,0
55,11650000000000,942373916958483200000000,1564249138467730000000000000000000000,0,0,0
56,11680000000000,935131109103146800000000,1581701269046339800000000000000000000,0,0,0
57,11710000000000,927962332950441000000000,1598886846915972200000000000000000000,0,0,0
58,11740000000000,920866645026892000000000,1615810609686034500000000000000000000,0,0,0
59,11770000000000,913843116250884500000000,1632477198976181300000000000000000000,0,0,0
60,11800000000000,906890831677187800000000,1648891162598759000000000000000000000,0,0,0
61,11830000000000,900008890246651000000000,1665056956686255600000000000000000000,0,0,0
62,11860000000000,893196404540949000000000,1680978947765278000000000000000000000,0,0,0
63,11890000000000,886452500542270900000000,1696661414778527000000000000000000000,0,0,0
64,11920000000000,879776317397829100000000,1712108551056205500000000000000000000,0,0,0
65,11950000000000,873167007189089400000000,1727324466238243700000000000000000000,0,0,0
66,11980000000000,866623734705613400000000,1742313188148691000000000000000000000,0,0,0
67,12010000000000,860145677223405200000000,1757078664623578000000000000000000000,0,0,0
68,12040000000000,853732024287670100000000,1771624765293516300000000000000000000,0,0,0
69,12070000000000,847381977499877300000000,1785955283322269300000000000000000000,0,0,0
70,12100000000000,841094750309040200000000,1800073937102480700000000000000000000,0,0,0
71,12130000000000,834869567807113400000000,1813984371909726500000000000000000000,0,0,0
72,12160000000000,828705666528418000000000,1827690161516009800000000000000000000,0,0,0
73,12190000000000,822602294253008700000000,1841194809763790400000000000000000000,0,0,0
74,12220000000000,816558709813888700000000,1854501752101609000000000000000000000,0,0,0
75,12250000000000,810574182907997200000000,1867614357082335000000000000000000000,0,0,0
76,12280000000000,804647993910878000000000,1880535927825034300000000000000000000,0,0,0
77,12310000000000,798779433694956300000000,1893269703441428700000000000000000000,0,0,0
78,12340000000000,792967803451337200000000,1905818860427885300000000000000000000,0,0,0
79,12370000000000,787212414515057000000000,1918186514023852700000000000000000000,0,0,0
80,12400000000000,781512588193704100000000,1930375719537629000000000000000000000,0,0,0
81,12430000000000,775867655599348100000000,1942389473640326600000000000000000000,0,0,0
82,12460000000000,770276957483688500000000,1954230715628868000000000000000000000,0,0,0
83,12490000000000,764739844076373100000000,1965902328658827700000000000000000000,0,0,0
84,12520000000000,759255674926402200000000,1977407140947910000000000000000000000,0,0,0
85,12550000000000,753823818746560600000000,1988747926950830300000000000000000000,0,0,0
86,12580000000000,748443653260810300000000,1999927408506344000000000000000000000,0,0,0
87,12610000000000,743114565054580000000000,2010948255957151600000000000000000000,0,0,0
88,12640000000000,737835949427892800000000,2021813089243377400000000000000000000,0,0,0
89,12670000000000,732607210251265000000000,2032524478970314000000000000000000000,0,0,0
90,12700000000000,727427759824326600000000,2043084947451090000000000000000000000,0,0,0
91,12730000000000,722297018737097500000000,2053496969724911400000000000000000000,0,0,0
92,12760000000000,717214415733868400000000,2063762974551505400000000000000000000,0,0,0
93,12790000000000,712179387579630000000000,2073885345382371500000000000000000000,0,0,0
94,12820000000000,707191378928994400000000,2083866421309441000000000000000000000,0,0,0
95,12850000000000,702249842197563700000000,2093708497991714400000000000000000000,0,0,0
96,12880000000000,697354237435684600000000,2103413828560445500000000000000000000,0,0,0
97,12910000000000,692504032204548500000000,2112984624503408200000000000000000000,0,0,0
