time(s), average_n_photon(m^-3), average_n_exotic(m^-3)
0,1390246187379752.5,0.000000000000000000012811373851221506
0.001,1390246187379749.8,0.00000000000000000002562274770244301
0.002,1390246187379742.3,0.00000000000000000003843412155364382
0.003,1390246187379739,0.00000000000000000005124549540488598
0.004,1390246187379711,0.00000000000000000006405686925604354
0.005,1390246187379708.5,0.00000000000000000007686824310728753
0.006,1390246187379700.8,0.00000000000000000008967961695865254
0.007,1390246187379698.3,0.00000000000000000010249099080977165
0.008,1390246187379588.5,0.00000000000000000011530236466084276
0.009000000000000001,1390246187379579.3,0.0000000000000000001281137385120868
0.01,1390246187379576.8,0.00000000000000000014092511236340052
0.011,1390246187379548.8,0.00000000000000000015373648621456566
0.012,1390246187379546.3,0.00000000000000000016654786006621368
0.013000000000000001,1390246187379538.3,0.00000000000000000017935923391730236
0.014,1390246187379535.5,0.00000000000000000019217060776847184
0.015,1390246187379099.8,0.00000000000000000020498198161954088
0.016,1390246187379097,0.00000000000000000021779335547057936
0.017,1390246187379089.5,0.0000000000000000002306047293216605
0.018000000000000002,1390246187379086.8,0.00000000000000000024341610317288264
0.019,1390246187379058.8,0.0000000000000000002562274770241496
0.02,1390246187379049.3,0.00000000000000000026903885087533233
0.021,1390246187379046.8,0.00000000000000000028185022472679864
0.022,1390246187378937.3,0.0000000000000000002946615985779368
0.023,1390246187378934.5,0.0000000000000000003074729724291246
0.024,1390246187378927,0.00000000000000000032028434628024596
0.025,1390246187378924.3,0.0000000000000000003330957201324208
0.026000000000000002,1390246187378896,0.0000000000000000003459070939834737
0.027,1390246187378893.5,0.0000000000000000003587184678345399
0.028,1390246187378885.8,0.0000000000000000003715298416856478
0.029,1390246187378883,0.00000000000000000038434121553670718
0.03,1390246187371925.5,0.00000000000000000039715258938797266
0.031,1390246187371923,0.0000000000000000004099639632390213
0.032,1390246187371913.5,0.00000000000000000042277533709010755
0.033,1390246187371885.5,0.0000000000000000004355867109411523
0.034,1390246187371882.8,0.0000000000000000004483980847921835
0.035,1390246187371875.3,0.0000000000000000004612094586433027
0.036000000000000004,1390246187371872.8,0.000000000000000000474020832494256
0.037,1390246187371763,0.0000000000000000004868322063457449
0.038,1390246187371760.3,0.0000000000000000004996435801963686
0.039,1390246187371752.3,0.0000000000000000005124549540482817
0.04,1390246187371750,0.0000000000000000005252663278986053
0.041,1390246187371721.8,0.000000000000000000538077701750606
0.042,1390246187371719,0.0000000000000000005508890756006924
0.043000000000000003,1390246187371711.5,0.0000000000000000005637004494529423
0.044,1390246187371274.3,0.0000000000000000005765118233033674
0.045,1390246187371271.5,0.0000000000000000005893231971558266
0.046,1390246187371264,0.0000000000000000006021345710053951
0.047,1390246187371261.3,0.0000000000000000006149459448580858
0.048,1390246187371233.3,0.0000000000000000006277573187074602
0.049,1390246187371230.3,0.0000000000000000006405686925604393
0.05,1390246187371222.5,0.0000000000000000006533800664096251
0.051000000000000004,1390246187371220,0.0000000000000000006661914402626706
0.052000000000000005,1390246187371110.3,0.0000000000000000006790028141116764
0.053,1390246187371107.8,0.000000000000000000691814187964856
0.054,1390246187371100,0.0000000000000000007046255618157378
0.055,1390246187371070.5,0.00000000000000000071743693566903
0.056,1390246187371067.8,0.000000000000000000730248309517695
0.057,1390246187371060.3,0.0000000000000000007430596833711507
0.058,1390246187371057.5,0.0000000000000000007558710572196879
0.059000000000000004,1390246187369317.5,0.00000000000000000076868243107336
0.06,1390246187369315,0.000000000000000000781493804921769
0.061,1390246187369306.8,0.00000000000000000079430517877544775
0.062,1390246187369304.3,0.0000000000000000008071165526237594
0.063,1390246187369276,0.0000000000000000008199279264775585
0.064,1390246187369273.5,0.0000000000000000008327393003261626
0.065,1390246187369266,0.0000000000000000008455506741800584
0.066,1390246187369263.3,0.0000000000000000008583620480281283
0.067,1390246187369152,0.0000000000000000008711734218821507
0.068,1390246187369144.5,0.0000000000000000008839847957301226
0.069,1390246187369142,0.0000000000000000008967961695842171
0.07,1390246187369113.8,0.0000000000000000009096075434321908
0.07100000000000001,1390246187369111.3,0.0000000000000000009224189172862011
0.07200000000000001,1390246187369103.3,0.0000000000000000009352302911341877
0.073,1390246187369100.5,0.0000000000000000009480416649884578
0.074,1390246187368664.8,0.0000000000000000009608530388368417
0.075,1390246187368662.3,0.0000000000000000009736644126913491
0.076,1390246187368654.5,0.0000000000000000009864757865439612
0.077,1390246187368652,0.0000000000000000009992871603925774
0.078,1390246187368624,0.0000000000000000010120985342471008
0.079,1390246187368614.5,0.000000000000000001024909908096079
0.08,1390246187368611.8,0.0000000000000000010377212819476702
0.081,1390246187368502.3,0.0000000000000000010505326557967965
0.082,1390246187368499.8,0.0000000000000000010633440296514382
0.083,1390246187368492,0.0000000000000000010761554035008064
0.084,1390246187368489.3,0.0000000000000000010889667773514928
0.085,1390246187368461,0.0000000000000000011017781512009269
0.08600000000000001,1390246187368458.5,0.00000000000000000111458952505601
0.08700000000000001,1390246187368450.5,0.0000000000000000011274008989057349
0.088,1390246187368448.3,0.0000000000000000011402122727555607
0.089,1390246187368447,0.0000000000000000011530236466053617
0.09,1390246187368437.8,0.0000000000000000011658350204602322
0.091,1390246187368435.3,0.0000000000000000011786463943102907
0.092,1390246187368407,0.0000000000000000011914577681594203
0.093,1390246187368404.5,0.0000000000000000012042691420095264
0.094,1390246187368396.5,0.0000000000000000012170805158645035
0.095,1390246187368394.3,0.0000000000000000012298918897148779
0.096,1390246187368284.3,0.0000000000000000012427032635632279
0.097,1390246187368281.5,0.0000000000000000012555146374136352
0.098,1390246187368274,0.0000000000000000012683260112698355
0.099,1390246187368271.3,0.0000000000000000012811373851204584
0.1,1390246187368243.3,0.0000000000000000012939487589681533
